entry,R1-,R2,organocatalyst,organocatalyst(mol%),under,temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),収率(%)
1,CC1=CC=CC=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,87
2,CC1=CC=C(N)C=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,76
3,CC1=CC=C(OC)C=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,93
4,CC1=CC=C(Cl)C=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,90
5,CC1=CC=C(F)C=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,91
6,CC1=CC=C(C(F)(F)F)C=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,48,0,0,78
7,CC1=CC=CC(Cl)=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,48,0,0,72
8,CC1=CC=CC(I)=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,70
9,CC1=CC=CC=C1C,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,86
10,CC1=CC=CC=C1OC,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,73
11,CC1=C(C=CC=C2)C2=CC=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,81
12,CC1=CC(OCO2)=C2C=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,91
13,CC1=CC=CO1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,80
14,,,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,0
15,,,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,0
16,,,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,1.5,O2,rt,20,0,0,0
,,,,,,,,,,
1,CC1=CC=CC=C1,C,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,10,O2,rt,48,0,0,69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,NCC1=CC=C(C)C=C1,H,OC1=CC=CC(O)=C1O,4,air,rt,24,0,0,90
2,NCC1=CC=C(C)C=C1,H,OC1=CC=CC(O)=C1N,4,air,rt,24,0,0,5
3,NCC1=CC=C(C)C=C1,H,OC1=C2C(C=CC=C(O)C2=O)=CC(O)=C1O,2,air,rt,24,0,0,75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,CC1=CC=C(OC)C=C1,H,O=C1C=C(CCCCC)C2=CC=CC=C2C1=O,10,O2,rt,48,0,0,39
2,CC1=CC=C(OC)C=C1,H,O=C1C=C(OC)C2=CC=CC=C2C1=O,10,O2,rt,48,0,0,64
3,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,O2,rt,48,0,0,69
4,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=C(F)C=C2)C3=CC=CC=C3C1=O,10,O2,rt,48,0,0,47
5,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=C(OC)C=C2)C3=CC=CC=C3C1=O,10,O2,rt,48,0,0,63
6,CC1=CC=C(OC)C=C1,H,O=C1C(CCCCC)=C(CCCCC)C2=CC=CC=C2C1=O,10,O2,rt,48,0,0,9
7,CC1=CC=C(OC)C=C1,H,O=C1C(C2=CC=CC=C2)=C(C3=CC=CC=C3)C4=CC=CC=C4C1=O,10,O2,rt,48,0,0,29
8,,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,O2,rt,48,0,0,25
9,,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,O2,rt,48,0,0,22
10,,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,O2,rt,48,0,0,50
11,,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,10,O2,rt,48,0,0,28
12,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,20,O2,rt,24,0,0,91
13,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,O2,rt,48,0,0,33
14,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,O2,rt,18,5,0,99
15,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,O2,rt,18,2,0,99
16,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,1,O2,rt,60,1,0,80
17,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,0.5,O2,rt,60,0.5,0,65
18,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,O2,rt,18,1,0,83
19,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,1,O2,rt,18,2,0,43
20,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,O2,rt,60,2,0,81
,,,,,,,,,,
2a,CC1=CC=C(OC)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,O2,rt,48,2,0,93
2b,CC1=CC=C(Cl)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,5,O2,rt,48,5,0,96
2c,CC1=CC=C(C)C=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,O2,rt,48,2,0,95
2d,CC1=CC=CC=C1,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,O2,rt,48,2,0,84
2e,CC1=CC=CC=C1C,H,O=C1C=C(C2=CC=CC=C2)C3=CC=CC=C3C1=O,2,O2,rt,48,2,0,88
