,yield,organocatalyst(mol%),temp(℃),time(h),266_R1-,324_R1-,85_organocatalyst,93_organocatalyst,132_organocatalyst,138_organocatalyst,150_organocatalyst,160_organocatalyst,246_organocatalyst,258_organocatalyst,266_organocatalyst,286_organocatalyst,365_organocatalyst,370_organocatalyst,372_organocatalyst,378_organocatalyst,380_organocatalyst,386_organocatalyst
0,81.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1
1,14.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1
2,74.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1
3,15.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1
4,90.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1
5,81.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1
6,43.0,-0.5995257606846857,1.120490325006081,-1.0110380616743833,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1
7,88.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
8,95.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
9,65.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
10,33.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,93.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1
12,84.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1
13,87.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
14,85.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
15,85.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
16,86.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
17,84.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
18,68.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
19,88.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
20,85.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
21,68.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
22,87.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
23,37.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
24,9.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
25,84.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
26,86.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
