,organocatalyst(mol%),temp(℃),time(h),389_R1-,1199_R1-,84_organocatalyst,114_organocatalyst,314_organocatalyst,322_organocatalyst,781_organocatalyst,875_organocatalyst,1088_organocatalyst,1602_organocatalyst,1750_organocatalyst,yield
0,-0.5995257606846857,1.120490325006081,-0.171685708586216,1,1,0,0,0,0,0,1,0,1,1,81.0
1,-0.5995257606846857,1.120490325006081,-0.8011999734023415,1,1,0,0,0,0,0,1,0,1,1,14.0
2,-0.5995257606846857,1.120490325006081,-0.171685708586216,1,1,0,0,0,0,0,1,0,1,1,74.0
3,-0.5995257606846857,1.120490325006081,-0.8011999734023415,1,1,0,0,0,0,0,1,0,1,1,15.0
4,-0.5995257606846857,1.120490325006081,-0.171685708586216,1,1,0,0,0,1,1,1,0,1,1,90.0
5,-0.5995257606846857,1.120490325006081,-0.8011999734023415,1,1,0,0,0,1,1,1,0,1,1,81.0
6,-0.5995257606846857,1.120490325006081,-1.0110380616743833,1,1,0,0,0,1,1,1,0,1,1,43.0
7,-0.5995257606846857,1.120490325006081,-0.8011999734023415,1,1,0,0,0,1,1,1,0,1,0,88.0
8,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,0,0,0,1,1,1,0,1,0,95.0
9,-0.5995257606846857,1.120490325006081,-1.325795194082446,1,1,0,0,0,1,1,1,0,1,0,65.0
10,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,0,1,0,0,0,0,0,0,0,33.0
11,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,1,1,1,0,0,0,0,1,0,93.0
12,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,1,1,1,0,0,0,0,1,0,84.0
13,-0.5995257606846857,1.120490325006081,-1.115957105810404,1,1,0,0,0,1,1,1,0,1,0,87.0
14,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,1,0,0,0,1,1,1,0,1,0,85.0
15,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,0,0,0,1,1,1,0,1,0,85.0
