,yield,organocatalyst(mol%),temp(℃),time(h),704_R1-,1013_R1-,35_organocatalyst,51_organocatalyst,120_organocatalyst,173_organocatalyst,281_organocatalyst,413_organocatalyst,527_organocatalyst,579_organocatalyst,599_organocatalyst,728_organocatalyst,863_organocatalyst,905_organocatalyst,1076_organocatalyst,1128_organocatalyst,1138_organocatalyst,1144_organocatalyst,1196_organocatalyst,1234_organocatalyst,1307_organocatalyst,1763_organocatalyst,1902_organocatalyst,1911_organocatalyst,1993_organocatalyst
0,81.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,14.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,74.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,15.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,90.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0
5,81.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0
6,43.0,-0.5995257606846857,1.120490325006081,-1.0110380616743833,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0
7,88.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1
8,95.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1
9,65.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1
10,33.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,93.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0
12,84.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0
