entry,R1-,R2,organocatalyst,organocatalyst(mol%),solvent,under,temp(℃),time(h),Cu(OAc)2(mol%),AcOH(mol%),yield
1,[*]C1=CC=CC=C1,H,ClC1=CC=C(C(O)=O)C(O)=C1,5,toluene,O2,90,24,0,0,81
2,[*]C1=CC=CC=C1,H,ClC1=CC=C(C(O)=O)C(O)=C1,5,toluene,O2,90,12,0,0,14
3,[*]C1=CC=CC=C1,H,OC1=CC(C)=CC=C1C(O)=O,5,toluene,O2,90,24,0,0,74
4,[*]C1=CC=CC=C1,H,OC1=CC(C)=CC=C1C(O)=O,5,toluene,O2,90,12,0,0,15
5,[*]C1=CC=CC=C1,H,OC1=CC(OC)=CC=C1C(O)=O,5,toluene,O2,90,24,0,0,90
6,[*]C1=CC=CC=C1,H,OC1=CC(OC)=CC=C1C(O)=O,5,toluene,O2,90,12,0,0,81
7,[*]C1=CC=CC=C1,H,OC1=CC(OC)=CC=C1C(O)=O,5,toluene,O2,90,8,0,0,43
8,[*]C1=CC=CC=C1,H,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5,toluene,O2,90,12,0,0,88
9,[*]C1=CC=CC=C1,H,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5,toluene,O2,90,6,0,0,95
10,[*]C1=CC=CC=C1,H,COC1=CC(OC)=C(C(O)=O)C(O)=C1,5,toluene,O2,90,2,0,0,65
11,[*]C1=CC=CC=C1,H,CC(/N=N/C(C)(C#N)C)(C#N)C,5,toluene,O2,90,6,0,0,33
12,[*]C1=CC=CC=C1,H,O=C1C(C(C)(C)C)=CC(C(O)=C1)=O,5,toluene,O2,90,6,0,0,93
13,[*]C1=CC=CC=C1,H,O=C1C(C=C(O)C(C(C)(C)C)=C1)=O,5,toluene,O2,90,6,0,0,84
,,,,,,,,,,,
2a,[*]C1=CC=CC=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,87
2b,[*]C1=C(C)C=CC=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,85
2c,[*]C1=CC=C(C)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,85
2d,[*]C1=C(OC)C=CC=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,86
2e,[*]C1=CC(OC)=CC=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,84
2f,[*]C1=CC=C(OC)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,68
2g,[*]C1=CC=C(C(C)(C)C)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,88
2h,[*]C1=CC=C(Cl)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,85
2i,[*]C1=CC=C(C(F)(F)F)C=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,68
2j,[*]C1=C(C=CC=C2)C2=CC=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,87
2k,[*]C1=CC=CO1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,37
2l,[*]C1=NC=CC=C1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,9
2m,[*]C1=CC=CS1,H,OC1=CC(OC)=CC(OC)=C1C(O)=O,5,toluene,O2,90,6,0,0,84
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,[*]C1=CC=CC=C1,H,-,0,toluene,O2,rt,6,0,0,6
,,,,,,,,,,,
