,yield,temp(℃),time(h),413_organocatalyst,1076_organocatalyst
0,81.0,1.120490325006081,-0.171685708586216,1,0
1,14.0,1.120490325006081,-0.8011999734023415,1,0
2,74.0,1.120490325006081,-0.171685708586216,1,0
3,15.0,1.120490325006081,-0.8011999734023415,1,0
4,90.0,1.120490325006081,-0.171685708586216,1,1
5,81.0,1.120490325006081,-0.8011999734023415,1,1
6,43.0,1.120490325006081,-1.0110380616743833,1,1
7,88.0,1.120490325006081,-0.8011999734023415,1,1
8,95.0,1.120490325006081,-1.115957105810404,1,1
9,65.0,1.120490325006081,-1.325795194082446,1,1
10,33.0,1.120490325006081,-1.115957105810404,0,0
11,93.0,1.120490325006081,-1.115957105810404,1,1
12,84.0,1.120490325006081,-1.115957105810404,1,1
13,87.0,1.120490325006081,-1.115957105810404,1,1
14,85.0,1.120490325006081,-1.115957105810404,1,1
15,85.0,1.120490325006081,-1.115957105810404,1,1
16,86.0,1.120490325006081,-1.115957105810404,1,1
17,84.0,1.120490325006081,-1.115957105810404,1,1
18,68.0,1.120490325006081,-1.115957105810404,1,1
19,88.0,1.120490325006081,-1.115957105810404,1,1
20,85.0,1.120490325006081,-1.115957105810404,1,1
21,68.0,1.120490325006081,-1.115957105810404,1,1
22,87.0,1.120490325006081,-1.115957105810404,1,1
23,37.0,1.120490325006081,-1.115957105810404,1,1
24,9.0,1.120490325006081,-1.115957105810404,1,1
25,84.0,1.120490325006081,-1.115957105810404,1,1
26,86.0,1.120490325006081,-1.325795194082446,1,1
27,39.0,1.120490325006081,-1.325795194082446,1,1
28,88.0,1.120490325006081,-1.325795194082446,1,1
29,83.0,1.120490325006081,-1.325795194082446,1,1
30,83.0,1.120490325006081,-1.325795194082446,1,1
31,86.0,1.120490325006081,-1.325795194082446,1,1
32,87.0,1.120490325006081,-1.325795194082446,1,1
33,7.0,1.120490325006081,-0.171685708586216,0,0
34,32.0,1.120490325006081,-0.171685708586216,0,0
35,80.0,1.120490325006081,-0.171685708586216,1,0
36,6.0,1.120490325006081,-0.171685708586216,1,0
37,11.0,1.120490325006081,-0.171685708586216,1,0
38,32.0,1.120490325006081,-0.171685708586216,0,0
39,3.0,1.120490325006081,-0.171685708586216,0,0
40,0.0,1.120490325006081,-0.171685708586216,0,0
41,50.0,1.120490325006081,-1.115957105810404,1,1
42,40.0,1.120490325006081,-1.115957105810404,1,1
43,0.0,1.120490325006081,-1.115957105810404,1,1
44,4.0,1.120490325006081,-1.325795194082446,1,1
45,6.0,1.120490325006081,-1.325795194082446,1,0
46,3.0,1.120490325006081,-1.325795194082446,1,0
47,3.0,1.120490325006081,-1.325795194082446,0,1
48,87.0,-0.935601812799328,-0.3815237968582579,1,1
49,76.0,-0.935601812799328,-0.3815237968582579,1,1
50,93.0,-0.935601812799328,-0.3815237968582579,1,1
51,90.0,-0.935601812799328,-0.3815237968582579,1,1
52,91.0,-0.935601812799328,-0.3815237968582579,1,1
53,78.0,-0.935601812799328,1.0873428210460347,1,1
54,72.0,-0.935601812799328,1.0873428210460347,1,1
55,70.0,-0.935601812799328,-0.3815237968582579,1,1
56,86.0,-0.935601812799328,-0.3815237968582579,1,1
57,73.0,-0.935601812799328,-0.3815237968582579,1,1
58,81.0,-0.935601812799328,-0.3815237968582579,1,1
59,91.0,-0.935601812799328,-0.3815237968582579,1,1
60,80.0,-0.935601812799328,-0.3815237968582579,1,1
61,69.0,-0.935601812799328,1.0873428210460347,1,1
62,90.0,-0.935601812799328,-0.171685708586216,0,0
63,5.0,-0.935601812799328,-0.171685708586216,0,0
64,75.0,-0.935601812799328,-0.171685708586216,1,0
65,39.0,-0.935601812799328,1.0873428210460347,0,0
66,64.0,-0.935601812799328,1.0873428210460347,0,0
67,69.0,-0.935601812799328,1.0873428210460347,0,0
68,47.0,-0.935601812799328,1.0873428210460347,0,0
69,63.0,-0.935601812799328,1.0873428210460347,0,0
70,9.0,-0.935601812799328,1.0873428210460347,0,0
71,29.0,-0.935601812799328,1.0873428210460347,0,0
72,91.0,-0.935601812799328,-0.171685708586216,0,0
73,33.0,-0.935601812799328,1.0873428210460347,0,0
74,0.0,0.8136109014530347,1.0873428210460347,0,0
75,0.0,0.8136109014530347,1.0873428210460347,0,0
76,0.0,0.8136109014530347,1.0873428210460347,0,0
77,32.0,-0.935601812799328,1.0873428210460347,0,0
78,46.0,-0.935601812799328,1.0873428210460347,0,0
79,36.0,-0.935601812799328,1.0873428210460347,0,0
80,44.0,-0.935601812799328,1.0873428210460347,0,0
81,11.0,-0.935601812799328,1.0873428210460347,0,0
82,40.0,-0.935601812799328,1.0873428210460347,1,0
83,21.0,-0.935601812799328,1.0873428210460347,0,0
84,8.0,-0.935601812799328,1.0873428210460347,0,0
85,17.0,-0.935601812799328,1.0873428210460347,0,0
86,37.0,-0.935601812799328,1.0873428210460347,0,0
87,21.0,-0.935601812799328,1.0873428210460347,0,0
88,21.0,0.1998520543469425,1.0873428210460347,0,0
89,7.0,0.8136109014530347,1.0873428210460347,0,0
90,0.0,0.8136109014530347,1.0873428210460347,0,0
91,2.0,0.8136109014530347,1.0873428210460347,0,0
92,14.0,0.8136109014530347,1.0873428210460347,0,1
93,86.0,-0.935601812799328,-0.171685708586216,0,0
94,67.0,-0.935601812799328,-0.171685708586216,0,0
95,69.0,-0.935601812799328,-0.171685708586216,0,0
96,88.0,-0.935601812799328,-0.171685708586216,0,0
97,80.0,-0.935601812799328,-0.171685708586216,0,0
98,84.0,-0.935601812799328,-0.171685708586216,0,0
99,79.0,-0.935601812799328,-0.171685708586216,0,0
100,82.0,-0.935601812799328,-0.171685708586216,0,0
101,90.0,-0.935601812799328,-0.171685708586216,0,0
102,65.0,-0.935601812799328,-0.171685708586216,0,0
103,80.0,-0.935601812799328,-0.171685708586216,0,0
