"name","yield"
"0",81
"1",14
"2",74
"3",15
"4",90
"5",81
"6",43
"7",88
"8",95
"9",65
"10",33
"11",93
"12",84
"13",87
"14",85
"15",85
"16",86
"17",84
"18",68
"19",88
"20",85
"21",68
"22",87
"23",37
"24",9
"25",84
"26",86
"27",39
"28",88
"29",83
"30",83
"31",86
"32",87
"33",7
"34",32
"35",80
"36",6
"37",11
"38",32
"39",3
"40",0
"41",50
"42",40
"43",0
"44",4
"45",6
"46",3
"47",3
"48",87
"49",76
"50",93
"51",90
"52",91
"53",78
"54",72
"55",70
"56",86
"57",73
"58",81
"59",91
"60",80
"61",69
"62",90
"63",5
"64",75
"65",39
"66",64
"67",69
"68",47
"69",63
"70",9
"71",29
"72",91
"73",33
"74",0
"75",0
"76",0
"77",32
"78",46
"79",36
"80",44
"81",11
"82",40
"83",21
"84",8
"85",17
"86",37
"87",21
"88",21
"89",7
"90",0
"91",2
"92",14
"93",86
"94",67
"95",69
"96",88
"97",80
"98",84
"99",79
"100",82
"101",90
"102",65
"103",80
"104",76
"105",89
"106",94
"107",99
"108",80
"109",97
"110",98
"111",99
"112",75
"113",95
"114",95
"115",81
"116",95
"117",89
"118",99
"119",83
"120",99
