"name","estimated y"
"0",36.0692563596
"1",45.5047644197
"2",38.9156833084
"3",66.3229230702
"4",36.7606760699
"5",44.2711412864
"6",44.2711412864
"7",52.4412717225
"8",57.1590257525
"9",60.3041951059
"10",-0.6161474827
"11",56.8670433762
"12",58.6604205696
"13",57.1590257525
"14",74.785551026
"15",76.9387944459
"16",72.1019959648
"17",60.2543133993
"18",74.2552393847
"19",85.7916082665
"20",69.9523369833
"21",77.1067231544
"22",79.7382215157
"23",66.8802727642
"24",65.1080630981
"25",71.0736072518
"26",68.363233064
"27",72.625635901
"28",75.0085926391
"29",69.9420808398
"30",69.1382366952
"31",72.0953242597
"32",83.6316931415
"33",4.7780898293
"34",8.471004721
"35",35.370382271
"36",36.1601438283
"37",17.0125684496
"38",23.5427986373
"39",58.3085681973
"40",19.2150434947
"41",47.2184623724
"42",74.6553291426
"43",70.0413485498
"44",54.942481587
"45",62.5079169086
"46",52.6688137145
"47",42.7524194116
"48",78.8676034637
"49",85.0683576504
"50",82.5996946594
"51",86.8691387814
"52",82.2658689267
"53",91.1802268375
"54",84.7158953615
"55",105.0865416157
"56",102.2143584998
"57",96.344002556
"58",115.8279106724
"59",87.9367691832
"60",85.2798173406
"61",78.8676034637
"62",47.8026572346
"63",47.3946819877
"64",67.2152557072
"65",47.7894216726
"66",43.5401814253
"67",47.4233148015
"68",45.1526665105
"69",43.0382475807
"70",59.6525113463
"71",68.8896435726
"72",55.1981593991
"73",43.5101878511
"74",22.6697772452
"75",36.4812649963
"76",17.3578315192
"77",51.4660682034
"78",44.3280271547
"79",39.9429599339
"80",42.0573788637
"81",30.3482469379
"82",57.0668175692
"83",55.4877584076
"84",65.1575523769
"85",18.5573011555
"86",34.652122928
"87",39.8080902296
"88",39.3165051699
"89",18.7566502949
"90",32.7491738005
"91",32.7491738005
"92",37.3979948093
"93",51.4660682034
"94",57.8817144603
"95",66.2943309217
"96",65.9225657605
"97",59.467603521
"98",78.1284889647
"99",75.9923545057
"100",78.1284889647
"101",65.3158954191
"102",61.4016359113
"103",51.7092634276
"104",51.1910263584
"105",64.4031887303
"106",51.4660682034
"107",78.0914728977
"108",85.1326137854
"109",89.7358836401
"110",78.1102920858
"111",80.2544551525
"112",88.1499945794
"113",85.1471501629
"114",94.8451737469
"115",75.9741576267
"116",88.5591456475
"117",85.1471501629
"118",90.9105244036
"119",70.1352443519
"120",81.7343483224
