"name","estimated y"
"0",43.7036194967
"1",55.5297220113
"2",43.263833326
"3",69.0375930175
"4",39.9065540593
"5",51.1626979524
"6",51.473459728
"7",48.8354456511
"8",54.7484969084
"9",58.6905310799
"10",-13.4912253306
"11",65.1932308567
"12",74.6449293894
"13",54.7484969084
"14",84.4842536661
"15",91.8429998309
"16",80.601081833
"17",62.8377596561
"18",87.9598279978
"19",104.6532446319
"20",66.1038852733
"21",75.2337150616
"22",83.5621797524
"23",68.3060175827
"24",65.7415855137
"25",74.3738783112
"26",72.6777020718
"27",83.584605569
"28",77.0875056718
"29",79.7014337359
"30",74.5666143401
"31",87.0601799007
"32",103.7535965348
"33",-6.839303062
"34",-5.1632300822
"35",29.7736530257
"36",24.1703421887
"37",0.4589331862
"38",15.6186006645
"39",54.8748399787
"40",29.9580487829
"41",37.0928142093
"42",88.5387679648
"43",77.1231225907
"44",63.6782876873
"45",62.3738532696
"46",51.4548409692
"47",43.8367425616
"48",73.5907897329
"49",69.8426899422
"50",87.9732675618
"51",89.4121617245
"52",82.7511141842
"53",78.1431236301
"54",79.8780831303
"55",100.3585899142
"56",100.8326651354
"57",93.3414074254
"58",114.0658275216
"59",73.5031170468
"60",75.082903507
"61",71.4272325646
"62",47.4386203691
"63",43.3052086394
"64",94.5195111209
"65",46.2299395939
"66",45.9497134834
"67",48.4722418633
"68",36.5026484151
"69",42.1693499561
"70",59.79646462
"71",74.7434411638
"72",59.5343797629
"73",39.1994232011
"74",24.7573455172
"75",49.5892376716
"76",13.0083178864
"77",43.2665514074
"78",45.3533454938
"79",39.0504535866
"80",33.3837520457
"81",33.8875548696
"82",59.4065954176
"83",46.3273383188
"84",60.3609633348
"85",2.4215251777
"86",25.6630322842
"87",31.5672356544
"88",38.0326910476
"89",15.484526855
"90",35.2067598426
"91",35.2067598426
"92",22.9486233714
"93",45.1380486855
"94",63.4036983475
"95",72.1244468925
"96",67.5107159547
"97",60.9594206772
"98",83.0868951824
"99",85.3313052662
"100",88.0572615607
"101",69.4220465045
"102",61.7414830644
"103",49.7329069537
"104",48.9830048485
"105",70.542180331
"106",44.2126899828
"107",73.2726794479
"108",87.7043364854
"109",94.3653840257
"110",81.2778999661
"111",83.5846928773
"112",96.8096616961
"113",93.9676567054
"114",107.1745150791
"115",83.5223100499
"116",86.5550951806
"117",98.9380230837
"118",98.9396472981
"119",74.0997531924
"120",81.3408680148
