"name","estimated y"
"0",44.9753333333
"1",46.1813333333
"2",30.284
"3",64.506
"4",67.552
"5",65.552
"6",65.5290666667
"7",68.95
"8",67.696
"9",69.494
"10",41.7946666667
"11",76.6254285714
"12",80.3960952381
"13",67.696
"14",84.8850095238
"15",81.8779428571
"16",84.7270095238
"17",79.112
"18",76.3599428571
"19",77.8910666667
"20",69.946
"21",74.392
"22",78.016
"23",78.2288761905
"24",76.6183428571
"25",86.5582095238
"26",76.5090666667
"27",82.8766666667
"28",72.54
"29",81.6706666667
"30",77.114
"31",82.406
"32",83.672
"33",21.566
"34",17.106
"35",32.47
"36",36.142
"37",34.4
"38",39.863
"39",51.614
"40",33.9306666667
"41",14.346
"42",76.4099428571
"43",65.2882095238
"44",52.718
"45",59.072
"46",31.488
"47",28.076
"48",79.116
"49",82.718
"50",81.326
"51",80.356
"52",83.258
"53",81.826
"54",76.506
"55",84.62
"56",86.154
"57",88.35
"58",84.994
"59",83.682
"60",81.296
"61",80.83
"62",46.548
"63",49.55
"64",57.868
"65",48.8
"66",48.034
"67",40.398
"68",42.632
"69",42.656
"70",48.652
"71",53.426
"72",55.528
"73",40.156
"74",3.9480666667
"75",32.704
"76",12.0223333333
"77",41.786
"78",34.9517333333
"79",36.8526666667
"80",37.4943333333
"81",24.3604
"82",43.306
"83",32.556
"84",37.618
"85",20.7756666667
"86",34.2216666667
"87",33.15
"88",16.022
"89",14.2553333333
"90",5.7
"91",5.7
"92",36.846
"93",60.146
"94",77.662
"95",76.632
"96",79.362
"97",82.634
"98",80.34
"99",78.8413333333
"100",79.0553333333
"101",83.222
"102",79.948
"103",58.418
"104",58.418
"105",80.0973333333
"106",28.146
"107",92.9966666667
"108",95.708
"109",95.232
"110",94.96
"111",86.194
"112",93.988
"113",83.436
"114",91.632
"115",94.066
"116",89.024
"117",86.532
"118",92.082
"119",91.6573333333
"120",90.448
