"name","estimated y"
"0",73.9153782503
"1",83.7543700108
"2",43.5819137251
"3",99.3528492426
"4",66.0360979467
"5",43.5819137895
"6",43.5819140133
"7",47.4288285196
"8",52.3483243996
"9",55.6279883197
"10",-97.2416274408
"11",76.9453551913
"12",76.9453551913
"13",52.3483243996
"14",78.126039462
"15",78.126039462
"16",78.126039462
"17",59.4375412623
"18",78.126039462
"19",78.126039462
"20",56.8613210263
"21",62.6980032251
"22",70.7688550813
"23",78.126039462
"24",78.126039462
"25",78.126039462
"26",78.126039462
"27",78.126039462
"28",62.186359696
"29",78.126039462
"30",63.3212396195
"31",78.126039462
"32",78.126039462
"33",46.1268025242
"34",28.6604340582
"35",25.8635055056
"36",26.7513656068
"37",1.9467981764
"38",0.7323267353
"39",48.1781904055
"40",-10.8056297874
"41",38.3146004444
"42",78.126039462
"43",78.126039462
"44",82.229479863
"45",47.8762696461
"46",43.9016570662
"47",75.6522615053
"48",76.9453551913
"49",77.1830107879
"50",76.9453551913
"51",76.9453551913
"52",76.9453551913
"53",77.172757016
"54",76.9453551913
"55",99.4382463124
"56",101.6590887904
"57",96.8699424936
"58",108.2012563127
"59",79.5231146251
"60",83.2795497831
"61",76.9453561992
"62",41.7849049665
"63",31.3606463727
"64",76.9136998077
"65",58.3016393408
"66",58.2614144602
"67",47.2230908857
"68",-77.9800207847
"69",46.0947979921
"70",53.1409354824
"71",58.3015748491
"72",52.7923497391
"73",40.0166598092
"74",24.4678052822
"75",57.9125012773
"76",14.2101942769
"77",52.7923497268
"78",46.0579002432
"79",44.9296073497
"80",-79.145211426
"81",45.3562120373
"82",52.7923497268
"83",52.7923497268
"84",52.7923497268
"85",8.8621848234
"86",36.8291960716
"87",35.1693989071
"88",52.7923497268
"89",17.2613742058
"90",52.7923497268
"91",52.7923497268
"92",30.2540983607
"93",52.7923497268
"94",58.3016393441
"95",66.9010744062
"96",62.0337581832
"97",52.7923497268
"98",71.9915788797
"99",76.1729066106
"100",77.9156050996
"101",52.7923497268
"102",58.3454989612
"103",52.7923497268
"104",52.7923497268
"105",66.7182481728
"106",52.7923497268
"107",87.7868852459
"108",87.7868852459
"109",87.7868852459
"110",77.2501382272
"111",83.2820418296
"112",87.7868852459
"113",91.8376172742
"114",101.109449479
"115",81.4314659586
"116",87.7868852459
"117",97.7616434948
"118",87.7868852459
"119",87.7868852459
"120",87.7868852459
