,MaxEStateIndex_organocatalyst,MinEStateIndex_organocatalyst,MaxAbsEStateIndex_organocatalyst,MinAbsEStateIndex_organocatalyst,qed_organocatalyst,MolWt_organocatalyst,HeavyAtomMolWt_organocatalyst,ExactMolWt_organocatalyst,NumValenceElectrons_organocatalyst,NumRadicalElectrons_organocatalyst,MaxPartialCharge_organocatalyst,MinPartialCharge_organocatalyst,MaxAbsPartialCharge_organocatalyst,MinAbsPartialCharge_organocatalyst,FpDensityMorgan1_organocatalyst,FpDensityMorgan2_organocatalyst,FpDensityMorgan3_organocatalyst,BCUT2D_MWHI_organocatalyst,BCUT2D_MWLOW_organocatalyst,BCUT2D_CHGHI_organocatalyst,BCUT2D_CHGLO_organocatalyst,BCUT2D_LOGPHI_organocatalyst,BCUT2D_LOGPLOW_organocatalyst,BCUT2D_MRHI_organocatalyst,BCUT2D_MRLOW_organocatalyst,BalabanJ_organocatalyst,BertzCT_organocatalyst,Chi0_organocatalyst,Chi0n_organocatalyst,Chi0v_organocatalyst,Chi1_organocatalyst,Chi1n_organocatalyst,Chi1v_organocatalyst,Chi2n_organocatalyst,Chi2v_organocatalyst,Chi3n_organocatalyst,Chi3v_organocatalyst,Chi4n_organocatalyst,Chi4v_organocatalyst,HallKierAlpha_organocatalyst,Ipc_organocatalyst,Kappa1_organocatalyst,Kappa2_organocatalyst,Kappa3_organocatalyst,LabuteASA_organocatalyst,PEOE_VSA1_organocatalyst,PEOE_VSA10_organocatalyst,PEOE_VSA11_organocatalyst,PEOE_VSA12_organocatalyst,PEOE_VSA13_organocatalyst,PEOE_VSA14_organocatalyst,PEOE_VSA2_organocatalyst,PEOE_VSA3_organocatalyst,PEOE_VSA4_organocatalyst,PEOE_VSA5_organocatalyst,PEOE_VSA6_organocatalyst,PEOE_VSA7_organocatalyst,PEOE_VSA8_organocatalyst,PEOE_VSA9_organocatalyst,SMR_VSA1_organocatalyst,SMR_VSA10_organocatalyst,SMR_VSA2_organocatalyst,SMR_VSA3_organocatalyst,SMR_VSA4_organocatalyst,SMR_VSA5_organocatalyst,SMR_VSA6_organocatalyst,SMR_VSA7_organocatalyst,SMR_VSA8_organocatalyst,SMR_VSA9_organocatalyst,SlogP_VSA1_organocatalyst,SlogP_VSA10_organocatalyst,SlogP_VSA11_organocatalyst,SlogP_VSA12_organocatalyst,SlogP_VSA2_organocatalyst,SlogP_VSA3_organocatalyst,SlogP_VSA4_organocatalyst,SlogP_VSA5_organocatalyst,SlogP_VSA6_organocatalyst,SlogP_VSA7_organocatalyst,SlogP_VSA8_organocatalyst,SlogP_VSA9_organocatalyst,TPSA_organocatalyst,EState_VSA1_organocatalyst,EState_VSA10_organocatalyst,EState_VSA11_organocatalyst,EState_VSA2_organocatalyst,EState_VSA3_organocatalyst,EState_VSA4_organocatalyst,EState_VSA5_organocatalyst,EState_VSA6_organocatalyst,EState_VSA7_organocatalyst,EState_VSA8_organocatalyst,EState_VSA9_organocatalyst,VSA_EState1_organocatalyst,VSA_EState10_organocatalyst,VSA_EState2_organocatalyst,VSA_EState3_organocatalyst,VSA_EState4_organocatalyst,VSA_EState5_organocatalyst,VSA_EState6_organocatalyst,VSA_EState7_organocatalyst,VSA_EState8_organocatalyst,VSA_EState9_organocatalyst,FractionCSP3_organocatalyst,HeavyAtomCount_organocatalyst,NHOHCount_organocatalyst,NOCount_organocatalyst,NumAliphaticCarbocycles_organocatalyst,NumAliphaticHeterocycles_organocatalyst,NumAliphaticRings_organocatalyst,NumAromaticCarbocycles_organocatalyst,NumAromaticHeterocycles_organocatalyst,NumAromaticRings_organocatalyst,NumHAcceptors_organocatalyst,NumHDonors_organocatalyst,NumHeteroatoms_organocatalyst,NumRotatableBonds_organocatalyst,NumSaturatedCarbocycles_organocatalyst,NumSaturatedHeterocycles_organocatalyst,NumSaturatedRings_organocatalyst,RingCount_organocatalyst,MolLogP_organocatalyst,MolMR_organocatalyst,fr_Al_COO_organocatalyst,fr_Al_OH_organocatalyst,fr_Al_OH_noTert_organocatalyst,fr_ArN_organocatalyst,fr_Ar_COO_organocatalyst,fr_Ar_N_organocatalyst,fr_Ar_NH_organocatalyst,fr_Ar_OH_organocatalyst,fr_COO_organocatalyst,fr_COO2_organocatalyst,fr_C_O_organocatalyst,fr_C_O_noCOO_organocatalyst,fr_C_S_organocatalyst,fr_HOCCN_organocatalyst,fr_Imine_organocatalyst,fr_NH0_organocatalyst,fr_NH1_organocatalyst,fr_NH2_organocatalyst,fr_N_O_organocatalyst,fr_Ndealkylation1_organocatalyst,fr_Ndealkylation2_organocatalyst,fr_Nhpyrrole_organocatalyst,fr_SH_organocatalyst,fr_aldehyde_organocatalyst,fr_alkyl_carbamate_organocatalyst,fr_alkyl_halide_organocatalyst,fr_allylic_oxid_organocatalyst,fr_amide_organocatalyst,fr_amidine_organocatalyst,fr_aniline_organocatalyst,fr_aryl_methyl_organocatalyst,fr_azide_organocatalyst,fr_azo_organocatalyst,fr_barbitur_organocatalyst,fr_benzene_organocatalyst,fr_benzodiazepine_organocatalyst,fr_bicyclic_organocatalyst,fr_diazo_organocatalyst,fr_dihydropyridine_organocatalyst,fr_epoxide_organocatalyst,fr_ester_organocatalyst,fr_ether_organocatalyst,fr_furan_organocatalyst,fr_guanido_organocatalyst,fr_halogen_organocatalyst,fr_hdrzine_organocatalyst,fr_hdrzone_organocatalyst,fr_imidazole_organocatalyst,fr_imide_organocatalyst,fr_isocyan_organocatalyst,fr_isothiocyan_organocatalyst,fr_ketone_organocatalyst,fr_ketone_Topliss_organocatalyst,fr_lactam_organocatalyst,fr_lactone_organocatalyst,fr_methoxy_organocatalyst,fr_morpholine_organocatalyst,fr_nitrile_organocatalyst,fr_nitro_organocatalyst,fr_nitro_arom_organocatalyst,fr_nitro_arom_nonortho_organocatalyst,fr_nitroso_organocatalyst,fr_oxazole_organocatalyst,fr_oxime_organocatalyst,fr_para_hydroxylation_organocatalyst,fr_phenol_organocatalyst,fr_phenol_noOrthoHbond_organocatalyst,fr_phos_acid_organocatalyst,fr_phos_ester_organocatalyst,fr_piperdine_organocatalyst,fr_piperzine_organocatalyst,fr_priamide_organocatalyst,fr_prisulfonamd_organocatalyst,fr_pyridine_organocatalyst,fr_quatN_organocatalyst,fr_sulfide_organocatalyst,fr_sulfonamd_organocatalyst,fr_sulfone_organocatalyst,fr_term_acetylene_organocatalyst,fr_tetrazole_organocatalyst,fr_thiazole_organocatalyst,fr_thiocyan_organocatalyst,fr_thiophene_organocatalyst,fr_unbrch_alkane_organocatalyst,fr_urea_organocatalyst
0,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
1,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
2,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
3,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
4,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
5,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
6,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
7,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
8,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
9,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
