,MaxEStateIndex_r1,MinEStateIndex_r1,MaxAbsEStateIndex_r1,MinAbsEStateIndex_r1,qed_r1,MolWt_r1,HeavyAtomMolWt_r1,ExactMolWt_r1,NumValenceElectrons_r1,NumRadicalElectrons_r1,MaxPartialCharge_r1,MinPartialCharge_r1,MaxAbsPartialCharge_r1,MinAbsPartialCharge_r1,FpDensityMorgan1_r1,FpDensityMorgan2_r1,FpDensityMorgan3_r1,BCUT2D_MWHI_r1,BCUT2D_MWLOW_r1,BCUT2D_CHGHI_r1,BCUT2D_CHGLO_r1,BCUT2D_LOGPHI_r1,BCUT2D_LOGPLOW_r1,BCUT2D_MRHI_r1,BCUT2D_MRLOW_r1,BalabanJ_r1,BertzCT_r1,Chi0_r1,Chi0n_r1,Chi0v_r1,Chi1_r1,Chi1n_r1,Chi1v_r1,Chi2n_r1,Chi2v_r1,Chi3n_r1,Chi3v_r1,Chi4n_r1,Chi4v_r1,HallKierAlpha_r1,Ipc_r1,Kappa1_r1,Kappa2_r1,Kappa3_r1,LabuteASA_r1,PEOE_VSA1_r1,PEOE_VSA10_r1,PEOE_VSA11_r1,PEOE_VSA12_r1,PEOE_VSA13_r1,PEOE_VSA14_r1,PEOE_VSA2_r1,PEOE_VSA3_r1,PEOE_VSA4_r1,PEOE_VSA5_r1,PEOE_VSA6_r1,PEOE_VSA7_r1,PEOE_VSA8_r1,PEOE_VSA9_r1,SMR_VSA1_r1,SMR_VSA10_r1,SMR_VSA2_r1,SMR_VSA3_r1,SMR_VSA4_r1,SMR_VSA5_r1,SMR_VSA6_r1,SMR_VSA7_r1,SMR_VSA8_r1,SMR_VSA9_r1,SlogP_VSA1_r1,SlogP_VSA10_r1,SlogP_VSA11_r1,SlogP_VSA12_r1,SlogP_VSA2_r1,SlogP_VSA3_r1,SlogP_VSA4_r1,SlogP_VSA5_r1,SlogP_VSA6_r1,SlogP_VSA7_r1,SlogP_VSA8_r1,SlogP_VSA9_r1,TPSA_r1,EState_VSA1_r1,EState_VSA10_r1,EState_VSA11_r1,EState_VSA2_r1,EState_VSA3_r1,EState_VSA4_r1,EState_VSA5_r1,EState_VSA6_r1,EState_VSA7_r1,EState_VSA8_r1,EState_VSA9_r1,VSA_EState1_r1,VSA_EState10_r1,VSA_EState2_r1,VSA_EState3_r1,VSA_EState4_r1,VSA_EState5_r1,VSA_EState6_r1,VSA_EState7_r1,VSA_EState8_r1,VSA_EState9_r1,FractionCSP3_r1,HeavyAtomCount_r1,NHOHCount_r1,NOCount_r1,NumAliphaticCarbocycles_r1,NumAliphaticHeterocycles_r1,NumAliphaticRings_r1,NumAromaticCarbocycles_r1,NumAromaticHeterocycles_r1,NumAromaticRings_r1,NumHAcceptors_r1,NumHDonors_r1,NumHeteroatoms_r1,NumRotatableBonds_r1,NumSaturatedCarbocycles_r1,NumSaturatedHeterocycles_r1,NumSaturatedRings_r1,RingCount_r1,MolLogP_r1,MolMR_r1,fr_Al_COO_r1,fr_Al_OH_r1,fr_Al_OH_noTert_r1,fr_ArN_r1,fr_Ar_COO_r1,fr_Ar_N_r1,fr_Ar_NH_r1,fr_Ar_OH_r1,fr_COO_r1,fr_COO2_r1,fr_C_O_r1,fr_C_O_noCOO_r1,fr_C_S_r1,fr_HOCCN_r1,fr_Imine_r1,fr_NH0_r1,fr_NH1_r1,fr_NH2_r1,fr_N_O_r1,fr_Ndealkylation1_r1,fr_Ndealkylation2_r1,fr_Nhpyrrole_r1,fr_SH_r1,fr_aldehyde_r1,fr_alkyl_carbamate_r1,fr_alkyl_halide_r1,fr_allylic_oxid_r1,fr_amide_r1,fr_amidine_r1,fr_aniline_r1,fr_aryl_methyl_r1,fr_azide_r1,fr_azo_r1,fr_barbitur_r1,fr_benzene_r1,fr_benzodiazepine_r1,fr_bicyclic_r1,fr_diazo_r1,fr_dihydropyridine_r1,fr_epoxide_r1,fr_ester_r1,fr_ether_r1,fr_furan_r1,fr_guanido_r1,fr_halogen_r1,fr_hdrzine_r1,fr_hdrzone_r1,fr_imidazole_r1,fr_imide_r1,fr_isocyan_r1,fr_isothiocyan_r1,fr_ketone_r1,fr_ketone_Topliss_r1,fr_lactam_r1,fr_lactone_r1,fr_methoxy_r1,fr_morpholine_r1,fr_nitrile_r1,fr_nitro_r1,fr_nitro_arom_r1,fr_nitro_arom_nonortho_r1,fr_nitroso_r1,fr_oxazole_r1,fr_oxime_r1,fr_para_hydroxylation_r1,fr_phenol_r1,fr_phenol_noOrthoHbond_r1,fr_phos_acid_r1,fr_phos_ester_r1,fr_piperdine_r1,fr_piperzine_r1,fr_priamide_r1,fr_prisulfonamd_r1,fr_pyridine_r1,fr_quatN_r1,fr_sulfide_r1,fr_sulfonamd_r1,fr_sulfone_r1,fr_term_acetylene_r1,fr_tetrazole_r1,fr_thiazole_r1,fr_thiocyan_r1,fr_thiophene_r1,fr_unbrch_alkane_r1,fr_urea_r1
0,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
1,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
2,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
3,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
4,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
5,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
6,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
7,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
8,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
9,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777,777
