,organocatalyst(mol%),temp(℃),time(h),yield,R2_H,under_O2,solvent_CH3CN,solvent_toluene
0,5.0,90,24.0,81.0,1,1,0,1
1,5.0,90,12.0,14.0,1,1,0,1
2,5.0,90,24.0,74.0,1,1,0,1
3,5.0,90,12.0,15.0,1,1,0,1
4,5.0,90,24.0,90.0,1,1,0,1
5,5.0,90,12.0,81.0,1,1,0,1
6,5.0,90,8.0,43.0,1,1,0,1
7,5.0,90,12.0,88.0,1,1,0,1
8,5.0,90,6.0,95.0,1,1,0,1
9,5.0,90,2.0,65.0,1,1,0,1
10,5.0,90,6.0,33.0,1,1,0,1
11,5.0,90,6.0,93.0,1,1,0,1
12,5.0,90,6.0,84.0,1,1,0,1
13,5.0,90,6.0,87.0,1,1,0,1
14,5.0,90,6.0,85.0,1,1,0,1
15,5.0,90,6.0,85.0,1,1,0,1
16,5.0,90,6.0,86.0,1,1,0,1
17,5.0,90,6.0,84.0,1,1,0,1
18,5.0,90,6.0,68.0,1,1,0,1
19,5.0,90,6.0,88.0,1,1,0,1
20,5.0,90,6.0,85.0,1,1,0,1
21,5.0,90,6.0,68.0,1,1,0,1
22,5.0,90,6.0,87.0,1,1,0,1
23,5.0,90,6.0,37.0,1,1,0,1
24,5.0,90,6.0,9.0,1,1,0,1
25,5.0,90,6.0,84.0,1,1,0,1
26,5.0,90,2.0,86.0,1,1,0,1
27,5.0,90,2.0,39.0,1,1,0,1
28,5.0,90,2.0,88.0,1,1,0,1
29,5.0,90,2.0,83.0,1,1,0,1
30,5.0,90,2.0,83.0,1,1,0,1
31,5.0,90,2.0,86.0,1,1,0,1
32,5.0,90,2.0,87.0,1,1,0,1
33,5.0,90,24.0,7.0,1,1,0,1
34,5.0,90,24.0,32.0,1,1,0,1
35,5.0,90,24.0,80.0,1,1,0,1
36,5.0,90,24.0,6.0,1,1,0,1
37,5.0,90,24.0,11.0,1,1,0,1
38,5.0,90,24.0,32.0,1,1,0,1
39,5.0,90,24.0,3.0,1,1,0,1
40,5.0,90,24.0,0.0,1,1,0,1
41,5.0,90,6.0,50.0,1,1,0,1
42,5.0,90,6.0,40.0,1,1,0,1
43,5.0,90,6.0,0.0,1,1,0,1
44,5.0,90,2.0,4.0,1,1,0,1
45,5.0,90,2.0,6.0,1,1,0,1
46,5.0,90,2.0,3.0,1,1,0,1
47,5.0,90,2.0,3.0,1,1,0,1
48,1.5,23,20.0,87.0,1,1,1,0
49,1.5,23,20.0,76.0,1,1,1,0
50,1.5,23,20.0,93.0,1,1,1,0
51,1.5,23,20.0,90.0,1,1,1,0
52,1.5,23,20.0,91.0,1,1,1,0
53,1.5,23,48.0,78.0,1,1,1,0
54,1.5,23,48.0,72.0,1,1,1,0
55,1.5,23,20.0,70.0,1,1,1,0
56,1.5,23,20.0,86.0,1,1,1,0
57,1.5,23,20.0,73.0,1,1,1,0
58,1.5,23,20.0,81.0,1,1,1,0
59,1.5,23,20.0,91.0,1,1,1,0
60,1.5,23,20.0,80.0,1,1,1,0
61,10.0,23,48.0,69.0,0,1,0,0
62,4.0,23,24.0,90.0,1,0,0,0
63,4.0,23,24.0,5.0,1,0,0,0
64,2.0,23,24.0,75.0,1,0,0,0
65,10.0,23,48.0,39.0,1,1,1,0
66,10.0,23,48.0,64.0,1,1,1,0
67,10.0,23,48.0,69.0,1,1,1,0
68,10.0,23,48.0,47.0,1,1,1,0
69,10.0,23,48.0,63.0,1,1,1,0
70,10.0,23,48.0,9.0,1,1,1,0
71,10.0,23,48.0,29.0,1,1,1,0
72,20.0,23,24.0,91.0,1,1,1,0
73,5.0,23,48.0,33.0,1,1,1,0
74,15.0,80,48.0,0.0,1,0,1,0
75,15.0,80,48.0,0.0,1,0,1,0
76,15.0,80,48.0,0.0,1,0,1,0
77,5.0,23,48.0,32.0,0,0,1,0
78,10.0,23,48.0,46.0,0,0,1,0
79,10.0,23,48.0,36.0,0,0,1,0
80,10.0,23,48.0,44.0,0,0,1,0
81,10.0,23,48.0,11.0,0,0,1,0
82,10.0,23,48.0,40.0,0,0,1,0
83,10.0,23,48.0,21.0,0,0,1,0
84,10.0,23,48.0,8.0,0,0,1,0
85,10.0,23,48.0,17.0,0,0,1,0
86,10.0,23,48.0,37.0,0,0,1,0
