,yield,organocatalyst(mol%),temp(℃),time(h),160_R1-,53_organocatalyst,72_organocatalyst,89_organocatalyst,140_organocatalyst,144_organocatalyst,146_organocatalyst,149_organocatalyst,157_organocatalyst,162_organocatalyst,SpMAD_A_R1-,AATS1d_R1-,AATS2d_R1-,ATSC0Z_R1-,ATSC5Z_R1-,AATSC0d_R1-,AATSC2Z_R1-,MATS2Z_R1-,BCUTZ-1h_R1-,BalabanJ_R1-,AXp-0d_R1-,AXp-1d_R1-,AXp-2d_R1-,AXp-3d_R1-,AXp-4d_R1-,NsOH_R1-,AETA_eta_RL_R1-,BIC3_R1-,CIC2_R1-,MIC2_R1-,ZMIC3_R1-,FilterItLogS_R1-,VSA_EState1_R1-,AMID_R1-,SLogP_R1-,GGI3_R1-,JGI2_R1-,TSRW10_R1-,ATS1dv_organocatalyst,ATS1s_organocatalyst,ATS3s_organocatalyst,ATS0m_organocatalyst,ATS1m_organocatalyst,ATS4m_organocatalyst,AATS0p_organocatalyst,AATS3i_organocatalyst,ATSC6c_organocatalyst,ATSC7c_organocatalyst,ATSC4dv_organocatalyst,ATSC5dv_organocatalyst,ATSC0s_organocatalyst,ATSC4m_organocatalyst,ATSC0pe_organocatalyst,AATSC4dv_organocatalyst,AATSC0d_organocatalyst,AATSC4s_organocatalyst,AATSC0i_organocatalyst,MATS4pe_organocatalyst,MATS2are_organocatalyst,GATS4c_organocatalyst,GATS4s_organocatalyst,GATS2v_organocatalyst,GATS3p_organocatalyst,BCUTc-1h_organocatalyst,BalabanJ_organocatalyst,SpAbs_Dzp_organocatalyst,RPCG_organocatalyst,Xc-5d_organocatalyst,Xpc-5d_organocatalyst,ETA_shape_y_organocatalyst,ETA_eta_BR_organocatalyst,nHBAcc_organocatalyst,IC3_organocatalyst,MIC3_organocatalyst,PEOE_VSA7_organocatalyst,PEOE_VSA8_organocatalyst,VSA_EState4_organocatalyst,VSA_EState5_organocatalyst,GGI1_organocatalyst,JGI3_organocatalyst,JGI4_organocatalyst,JGT10_organocatalyst
0,81.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,1,0,1,0,1,1,0,1,1,0.2844621336878489,-0.4363778547957564,-0.6043216152614946,-0.3085239546337918,0.6056987379716355,-0.8862104321178631,-0.6101537413989981,-1.007442880167681,-0.4258478416714988,-0.6337349309325463,-0.6001406612162683,0.7005191469239224,0.7379630872377515,0.7282398481564537,0.928254372685288,-0.1594482010358201,0.7270131129834523,-0.7444079142300354,0.9761787286378284,-0.8632689311423645,-0.6618881984927044,0.6409783440032408,-0.4177246132470131,0.1391009873033649,-0.3897820659497361,-0.7120340665505215,-0.9294385624216784,-0.728010764189107,-1.054206240706496,-1.4668311325977674,-1.6269129667917874,1.242713916738889,-0.7251496858464128,-0.6986686241555409,1.337989751405462,0.5066933226220495,0.3448268816882602,0.2477309582533751,-0.8117910339698668,0.8214770827575827,-0.6487226221739952,-0.7536993733166155,-0.5018301165067318,-0.99085895155842,0.4858203173550117,0.1631647071981645,-0.3687454932075475,-0.1090562940599106,1.3454700806016937,0.0540010167638798,0.8258840844153932,0.3547222554536574,0.0472120594552619,0.65659340220534,0.2569932916228176,-1.2964320456794558,0.961991655491382,-0.9665242255698054,-1.2594981804300307,0.4660958819034704,-0.5432503657317346,-0.955120509215616,0.5617696734565313,2.01890349721318,0.4356872063540749,-0.7439341648597839,-0.7775888652650209,-0.6180733156908867,-0.3816627095870036,0.5235942596973288,-0.4360401859625428,0.4924166209858433
1,14.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,1,0,1,0,1,1,0,1,1,0.2844621336878489,-0.4363778547957564,-0.6043216152614946,-0.3085239546337918,0.6056987379716355,-0.8862104321178631,-0.6101537413989981,-1.007442880167681,-0.4258478416714988,-0.6337349309325463,-0.6001406612162683,0.7005191469239224,0.7379630872377515,0.7282398481564537,0.928254372685288,-0.1594482010358201,0.7270131129834523,-0.7444079142300354,0.9761787286378284,-0.8632689311423645,-0.6618881984927044,0.6409783440032408,-0.4177246132470131,0.1391009873033649,-0.3897820659497361,-0.7120340665505215,-0.9294385624216784,-0.728010764189107,-1.054206240706496,-1.4668311325977674,-1.6269129667917874,1.242713916738889,-0.7251496858464128,-0.6986686241555409,1.337989751405462,0.5066933226220495,0.3448268816882602,0.2477309582533751,-0.8117910339698668,0.8214770827575827,-0.6487226221739952,-0.7536993733166155,-0.5018301165067318,-0.99085895155842,0.4858203173550117,0.1631647071981645,-0.3687454932075475,-0.1090562940599106,1.3454700806016937,0.0540010167638798,0.8258840844153932,0.3547222554536574,0.0472120594552619,0.65659340220534,0.2569932916228176,-1.2964320456794558,0.961991655491382,-0.9665242255698054,-1.2594981804300307,0.4660958819034704,-0.5432503657317346,-0.955120509215616,0.5617696734565313,2.01890349721318,0.4356872063540749,-0.7439341648597839,-0.7775888652650209,-0.6180733156908867,-0.3816627095870036,0.5235942596973288,-0.4360401859625428,0.4924166209858433
2,74.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,1,0,1,0,1,1,0,1,1,0.2844621336878489,-0.4363778547957564,-0.6043216152614946,-0.3085239546337918,0.6056987379716355,-0.8862104321178631,-0.6101537413989981,-1.007442880167681,-0.4258478416714988,-0.6337349309325463,-0.6001406612162683,0.7005191469239224,0.7379630872377515,0.7282398481564537,0.928254372685288,-0.1594482010358201,0.7270131129834523,-0.7444079142300354,0.9761787286378284,-0.8632689311423645,-0.6618881984927044,0.6409783440032408,-0.4177246132470131,0.1391009873033649,-0.3897820659497361,-0.7120340665505215,-0.9294385624216784,-0.728010764189107,-1.0367240078587336,-0.998651376192082,-1.3158728449628612,-1.2315312610613938,-1.1462211817298626,-1.2220386397745089,-0.3720619380533665,-0.0788930528544293,0.3151893730489822,-0.1624728085027767,-0.2316153397144775,0.3521363525335612,-0.2625031617343216,-0.1823834600246218,-0.342568630856371,-0.1464689419408189,-0.0760785360958764,0.4033513770965624,-0.0172029580204308,0.2561327452422345,1.9001124999728527,-0.354914641008405,-0.0468853767706567,0.4210929039822745,0.8258342721011733,0.6190296207607934,0.2569932916228176,-1.2546425564439183,0.8238669327912621,-0.9665242255698054,-1.2594981804300307,0.7258543195362407,-0.5432503657317346,-0.955120509215616,0.5558280683035693,-0.1971683050490655,1.070266249465838,-1.874369907321516,-0.1745800547743015,-0.3287650445879609,-0.3816627095870036,0.5235942596973288,-0.4360401859625428,0.4924166209858433
3,15.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,1,0,1,0,1,1,0,1,1,0.2844621336878489,-0.4363778547957564,-0.6043216152614946,-0.3085239546337918,0.6056987379716355,-0.8862104321178631,-0.6101537413989981,-1.007442880167681,-0.4258478416714988,-0.6337349309325463,-0.6001406612162683,0.7005191469239224,0.7379630872377515,0.7282398481564537,0.928254372685288,-0.1594482010358201,0.7270131129834523,-0.7444079142300354,0.9761787286378284,-0.8632689311423645,-0.6618881984927044,0.6409783440032408,-0.4177246132470131,0.1391009873033649,-0.3897820659497361,-0.7120340665505215,-0.9294385624216784,-0.728010764189107,-1.0367240078587336,-0.998651376192082,-1.3158728449628612,-1.2315312610613938,-1.1462211817298626,-1.2220386397745089,-0.3720619380533665,-0.0788930528544293,0.3151893730489822,-0.1624728085027767,-0.2316153397144775,0.3521363525335612,-0.2625031617343216,-0.1823834600246218,-0.342568630856371,-0.1464689419408189,-0.0760785360958764,0.4033513770965624,-0.0172029580204308,0.2561327452422345,1.9001124999728527,-0.354914641008405,-0.0468853767706567,0.4210929039822745,0.8258342721011733,0.6190296207607934,0.2569932916228176,-1.2546425564439183,0.8238669327912621,-0.9665242255698054,-1.2594981804300307,0.7258543195362407,-0.5432503657317346,-0.955120509215616,0.5558280683035693,-0.1971683050490655,1.070266249465838,-1.874369907321516,-0.1745800547743015,-0.3287650445879609,-0.3816627095870036,0.5235942596973288,-0.4360401859625428,0.4924166209858433
4,90.0,-0.5995257606846857,1.120490325006081,-0.171685708586216,0,1,0,1,1,1,1,0,1,1,0.2844621336878489,-0.4363778547957564,-0.6043216152614946,-0.3085239546337918,0.6056987379716355,-0.8862104321178631,-0.6101537413989981,-1.007442880167681,-0.4258478416714988,-0.6337349309325463,-0.6001406612162683,0.7005191469239224,0.7379630872377515,0.7282398481564537,0.928254372685288,-0.1594482010358201,0.7270131129834523,-0.7444079142300354,0.9761787286378284,-0.8632689311423645,-0.6618881984927044,0.6409783440032408,-0.4177246132470131,0.1391009873033649,-0.3897820659497361,-0.7120340665505215,-0.9294385624216784,-0.728010764189107,-0.5253693362550251,-0.3713778983111295,-1.1277574324785746,-0.660652236368393,-0.7339774435749105,-0.8544786844592345,-0.5955293361179476,0.3641044206182938,1.5352994380879008,-0.1983980226018418,-0.6251997225577417,1.0370899569423404,-0.1105004267091525,-1.2191730620842605,0.5216075784910011,-0.5717088400062902,-0.3548936009229656,0.2393004070870967,-0.1756839051187715,-0.0446391343826175,-0.2006464866101317,-0.4340869847103131,0.2402510917808116,-0.2856133585405412,0.247750060651839,0.7305092302091264,0.215661541906399,-0.3224615472352501,-0.2397623794485972,-0.9665242255698054,-1.1891618821904049,0.3308445299486945,-0.8300023717419713,0.2363184765069562,0.776432472502153,0.3539523191813818,-0.1638610242086737,-0.5090211806588758,-0.7676900053471548,0.085189580488421,-0.3816627095870036,0.0183368769768901,-0.3015502314263652,0.2608149681180003
5,81.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,1,0,1,1,1,1,0,1,1,0.2844621336878489,-0.4363778547957564,-0.6043216152614946,-0.3085239546337918,0.6056987379716355,-0.8862104321178631,-0.6101537413989981,-1.007442880167681,-0.4258478416714988,-0.6337349309325463,-0.6001406612162683,0.7005191469239224,0.7379630872377515,0.7282398481564537,0.928254372685288,-0.1594482010358201,0.7270131129834523,-0.7444079142300354,0.9761787286378284,-0.8632689311423645,-0.6618881984927044,0.6409783440032408,-0.4177246132470131,0.1391009873033649,-0.3897820659497361,-0.7120340665505215,-0.9294385624216784,-0.728010764189107,-0.5253693362550251,-0.3713778983111295,-1.1277574324785746,-0.660652236368393,-0.7339774435749105,-0.8544786844592345,-0.5955293361179476,0.3641044206182938,1.5352994380879008,-0.1983980226018418,-0.6251997225577417,1.0370899569423404,-0.1105004267091525,-1.2191730620842605,0.5216075784910011,-0.5717088400062902,-0.3548936009229656,0.2393004070870967,-0.1756839051187715,-0.0446391343826175,-0.2006464866101317,-0.4340869847103131,0.2402510917808116,-0.2856133585405412,0.247750060651839,0.7305092302091264,0.215661541906399,-0.3224615472352501,-0.2397623794485972,-0.9665242255698054,-1.1891618821904049,0.3308445299486945,-0.8300023717419713,0.2363184765069562,0.776432472502153,0.3539523191813818,-0.1638610242086737,-0.5090211806588758,-0.7676900053471548,0.085189580488421,-0.3816627095870036,0.0183368769768901,-0.3015502314263652,0.2608149681180003
6,43.0,-0.5995257606846857,1.120490325006081,-1.0110380616743833,0,1,0,1,1,1,1,0,1,1,0.2844621336878489,-0.4363778547957564,-0.6043216152614946,-0.3085239546337918,0.6056987379716355,-0.8862104321178631,-0.6101537413989981,-1.007442880167681,-0.4258478416714988,-0.6337349309325463,-0.6001406612162683,0.7005191469239224,0.7379630872377515,0.7282398481564537,0.928254372685288,-0.1594482010358201,0.7270131129834523,-0.7444079142300354,0.9761787286378284,-0.8632689311423645,-0.6618881984927044,0.6409783440032408,-0.4177246132470131,0.1391009873033649,-0.3897820659497361,-0.7120340665505215,-0.9294385624216784,-0.728010764189107,-0.5253693362550251,-0.3713778983111295,-1.1277574324785746,-0.660652236368393,-0.7339774435749105,-0.8544786844592345,-0.5955293361179476,0.3641044206182938,1.5352994380879008,-0.1983980226018418,-0.6251997225577417,1.0370899569423404,-0.1105004267091525,-1.2191730620842605,0.5216075784910011,-0.5717088400062902,-0.3548936009229656,0.2393004070870967,-0.1756839051187715,-0.0446391343826175,-0.2006464866101317,-0.4340869847103131,0.2402510917808116,-0.2856133585405412,0.247750060651839,0.7305092302091264,0.215661541906399,-0.3224615472352501,-0.2397623794485972,-0.9665242255698054,-1.1891618821904049,0.3308445299486945,-0.8300023717419713,0.2363184765069562,0.776432472502153,0.3539523191813818,-0.1638610242086737,-0.5090211806588758,-0.7676900053471548,0.085189580488421,-0.3816627095870036,0.0183368769768901,-0.3015502314263652,0.2608149681180003
7,88.0,-0.5995257606846857,1.120490325006081,-0.8011999734023415,0,1,0,1,1,1,1,1,1,1,0.2844621336878489,-0.4363778547957564,-0.6043216152614946,-0.3085239546337918,0.6056987379716355,-0.8862104321178631,-0.6101537413989981,-1.007442880167681,-0.4258478416714988,-0.6337349309325463,-0.6001406612162683,0.7005191469239224,0.7379630872377515,0.7282398481564537,0.928254372685288,-0.1594482010358201,0.7270131129834523,-0.7444079142300354,0.9761787286378284,-0.8632689311423645,-0.6618881984927044,0.6409783440032408,-0.4177246132470131,0.1391009873033649,-0.3897820659497361,-0.7120340665505215,-0.9294385624216784,-0.728010764189107,0.2023276964117907,0.6594047609817247,-0.7482262711101323,0.2365076535743399,-0.0324184740245246,0.587464342706546,-0.9060612461876866,0.0626963148718302,0.0290719184441683,1.2206479343112289,1.23406528388145,-1.2237700180044353,0.3497029144834923,0.0128776437629198,1.6846620211349284,1.0920013258250196,-0.1333693028411688,1.0264693472165494,-0.4291386979704633,1.5094941724934787,-1.1564204250866614,-1.5317899082874056,-0.9366949212541732,-1.4408302746217287,0.2629909487427789,1.4409897846280353,0.7761511906563775,0.7902078713875413,-1.0556405251814196,-0.8818916606025196,-0.0091990367159228,0.8113344380029851,-0.4428117025739385,1.4277574622295284,-0.0194876134816843,0.3601723541846597,-1.3629564970195271,0.8563252953188787,-0.8597663571523386,-0.2312005436760863,0.0801491690132708,0.920125370186787,-0.0665705917592244,0.067396508629903
8,95.0,-0.5995257606846857,1.120490325006081,-1.115957105810404,0,1,0,1,1,1,1,1,1,1,0.2844621336878489,-0.4363778547957564,-0.6043216152614946,-0.3085239546337918,0.6056987379716355,-0.8862104321178631,-0.6101537413989981,-1.007442880167681,-0.4258478416714988,-0.6337349309325463,-0.6001406612162683,0.7005191469239224,0.7379630872377515,0.7282398481564537,0.928254372685288,-0.1594482010358201,0.7270131129834523,-0.7444079142300354,0.9761787286378284,-0.8632689311423645,-0.6618881984927044,0.6409783440032408,-0.4177246132470131,0.1391009873033649,-0.3897820659497361,-0.7120340665505215,-0.9294385624216784,-0.728010764189107,0.2023276964117907,0.6594047609817247,-0.7482262711101323,0.2365076535743399,-0.0324184740245246,0.587464342706546,-0.9060612461876866,0.0626963148718302,0.0290719184441683,1.2206479343112289,1.23406528388145,-1.2237700180044353,0.3497029144834923,0.0128776437629198,1.6846620211349284,1.0920013258250196,-0.1333693028411688,1.0264693472165494,-0.4291386979704633,1.5094941724934787,-1.1564204250866614,-1.5317899082874056,-0.9366949212541732,-1.4408302746217287,0.2629909487427789,1.4409897846280353,0.7761511906563775,0.7902078713875413,-1.0556405251814196,-0.8818916606025196,-0.0091990367159228,0.8113344380029851,-0.4428117025739385,1.4277574622295284,-0.0194876134816843,0.3601723541846597,-1.3629564970195271,0.8563252953188787,-0.8597663571523386,-0.2312005436760863,0.0801491690132708,0.920125370186787,-0.0665705917592244,0.067396508629903
9,65.0,-0.5995257606846857,1.120490325006081,-1.325795194082446,0,1,0,1,1,1,1,1,1,1,0.2844621336878489,-0.4363778547957564,-0.6043216152614946,-0.3085239546337918,0.6056987379716355,-0.8862104321178631,-0.6101537413989981,-1.007442880167681,-0.4258478416714988,-0.6337349309325463,-0.6001406612162683,0.7005191469239224,0.7379630872377515,0.7282398481564537,0.928254372685288,-0.1594482010358201,0.7270131129834523,-0.7444079142300354,0.9761787286378284,-0.8632689311423645,-0.6618881984927044,0.6409783440032408,-0.4177246132470131,0.1391009873033649,-0.3897820659497361,-0.7120340665505215,-0.9294385624216784,-0.728010764189107,0.2023276964117907,0.6594047609817247,-0.7482262711101323,0.2365076535743399,-0.0324184740245246,0.587464342706546,-0.9060612461876866,0.0626963148718302,0.0290719184441683,1.2206479343112289,1.23406528388145,-1.2237700180044353,0.3497029144834923,0.0128776437629198,1.6846620211349284,1.0920013258250196,-0.1333693028411688,1.0264693472165494,-0.4291386979704633,1.5094941724934787,-1.1564204250866614,-1.5317899082874056,-0.9366949212541732,-1.4408302746217287,0.2629909487427789,1.4409897846280353,0.7761511906563775,0.7902078713875413,-1.0556405251814196,-0.8818916606025196,-0.0091990367159228,0.8113344380029851,-0.4428117025739385,1.4277574622295284,-0.0194876134816843,0.3601723541846597,-1.3629564970195271,0.8563252953188787,-0.8597663571523386,-0.2312005436760863,0.0801491690132708,0.920125370186787,-0.0665705917592244,0.067396508629903
