"name","SMILES"
"structure 1","CCc1c(O)c(C(=O)O)c(CC(C)C)c(C(=O)O)c1C(=O)NC"
"structure 2","COC(=O)c1c(O)c(C(=O)O)c(CN)c(CO)c1C(=O)OC"
"structure 3","CCCc1c(O)c(C(=O)O)c(C(=O)O)c(C(=O)O)c1C(=O)O"
"structure 4","CCCc1c(C#N)c(CC)c(CN)c(O)c1C(=O)O"
"structure 5","CCCc1c(C(C)(C)C)c(C(=O)O)c(O)c(C(=O)O)c1C(C)(C)C"
"structure 6","[H]c1c(O)c([H])c(C(=O)NC)c(C(=O)O)c1O"
"structure 7","CC(C)(C)c1c(CO)c(O)c(C(=O)O)c(CO)c1CN"
"structure 8","COC(=O)c1c(CO)c(O)c(C(=O)O)c(C(C)(C)C)c1C(C)(C)C"
"structure 9","[H]c1c(CN)c(O)c(C(=O)O)c(CC)c1C(=O)NC"
"structure 10","[H]c1c(C)c(O)c(C(=O)O)c(CO)c1C(C)(C)C"
"structure 11","N#Cc1c(N)c(C(=O)O)c(O)c(CN)c1CO"
"structure 12","NCc1c(N)c(N)c(N)c(C(=O)O)c1O"
"structure 13","CCCc1c(O)c(C(=O)O)c(CCC)c(CC(C)C)c1C#N"
"structure 14","CCCc1c(C)c(C(=O)O)c(CC)c(O)c1C(=O)O"
"structure 15","CNC(=O)c1c(C)c(N)c(O)c(C(=O)O)c1C#N"
"structure 16","[H]c1c(CC(C)C)c(C(=O)O)c(O)c(C)c1C(=O)O"
"structure 17","CCCc1c(CC(C)C)c(CO)c(C(=O)O)c(O)c1C(=O)O"
"structure 18","CCCc1c(CN)c(C(C)(C)C)c(C(=O)O)c(O)c1C(=O)O"
"structure 19","[H]c1c(CN)c(CO)c(C(=O)O)c(O)c1C(C)(C)C"
"structure 20","CCc1c(O)c(C(=O)O)c(O)c(CO)c1CC"
"structure 21","N#Cc1c(O)c(C(=O)O)c(C#N)c(CN)c1C#N"
"structure 22","CCCc1c(C(=O)OC)c(CC)c(C(=O)O)c(O)c1C(C)(C)C"
"structure 23","N#Cc1c(CO)c(CO)c(O)c(C(=O)O)c1CN"
"structure 24","[H]c1c(O)c(C(=O)O)c(CCC)c(CCC)c1C(=O)NC"
"structure 25","CCCc1c(N)c(C#N)c(C(=O)O)c(O)c1CO"
"structure 26","CCCc1c(O)c(C(=O)O)c(O)c(CCC)c1CN"
