,organocatalyst(mol%),temp(℃),time(h),266_R1-,324_R1-,85_organocatalyst,93_organocatalyst,132_organocatalyst,138_organocatalyst,150_organocatalyst,160_organocatalyst,246_organocatalyst,258_organocatalyst,266_organocatalyst,286_organocatalyst,365_organocatalyst,370_organocatalyst,372_organocatalyst,378_organocatalyst,380_organocatalyst,386_organocatalyst,SLogPR1-,ATS1sorganocatalyst,AATS0porganocatalyst,AATSC0iorganocatalyst,GATS4sorganocatalyst,BalabanJorganocatalyst
0,5.0,90,24.0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0.8612,74.79835390946502,1.7767110327653124,1.2958984014113075,1.0163033049329535,2.437159260034696
1,5.0,90,12.0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0.8612,74.79835390946502,1.7767110327653124,1.2958984014113075,1.0163033049329535,2.437159260034696
2,5.0,90,24.0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0.8612,81.8888888888889,1.463037644146947,1.338801329605295,0.7796747967479676,2.437159260034696
3,5.0,90,12.0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0.8612,81.8888888888889,1.463037644146947,1.338801329605295,0.7796747967479676,2.437159260034696
4,5.0,90,24.0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0.8612,91.38888888888889,1.4220459619395995,1.3194555899077591,0.8575187611479704,2.4196298872250086
5,5.0,90,12.0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0.8612,91.38888888888889,1.4220459619395995,1.3194555899077591,0.8575187611479704,2.4196298872250086
6,5.0,90,8.0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0.8612,91.38888888888889,1.4220459619395995,1.3194555899077591,0.8575187611479704,2.4196298872250086
7,5.0,90,12.0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.8612,107.0,1.36509371035375,1.2885341866238875,0.5384215654433258,2.65735013446937
8,5.0,90,6.0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.8612,107.0,1.36509371035375,1.2885341866238875,0.5384215654433258,2.65735013446937
9,5.0,90,2.0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.8612,107.0,1.36509371035375,1.2885341866238875,0.5384215654433258,2.65735013446937
10,5.0,90,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8612,86.75,1.3536064524245,1.5795380854344714,1.803378051462503,3.820913091355932
11,5.0,90,6.0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0.8612,89.80555555555557,1.40615867432752,1.316500662606469,0.7027179950134258,2.6693987695351598
12,5.0,90,6.0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0.8612,89.80555555555557,1.4061586743275205,1.316500662606469,0.5717684074981244,2.6693987695351598
13,5.0,90,6.0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.8612,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
14,5.0,90,6.0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1.16962,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
15,5.0,90,6.0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1.16962,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
16,5.0,90,6.0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.8697999999999999,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
17,5.0,90,6.0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.8697999999999999,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
18,5.0,90,6.0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.8697999999999999,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
19,5.0,90,6.0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,2.1587000000000005,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
20,5.0,90,6.0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1.5146,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
21,5.0,90,6.0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1.88,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
22,5.0,90,6.0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,2.0144,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
23,5.0,90,6.0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.4542,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
24,5.0,90,6.0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.2562,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
25,5.0,90,6.0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.9227,107.0,1.36509371035375,1.288534186623888,0.5384215654433258,2.65735013446937
26,5.0,90,2.0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0.8612,101.33333333333334,1.411444301616333,1.3092171084439126,0.4114193083573486,2.602101952222666
