,SMILES
0,CC(C)c1cc(C(=O)O)c([O-])c(C(C)C)c1.CC(C)c1cc(C(=O)O)c([O-])c(C(C)C)c1.[Cu+2]
1,Cc1cc(O)c(C(=O)O)cc1C#N
2,N#Cc1cc(C(=O)O)c(O)cc1N
3,COc1cc(CC#N)c([N+](=O)[O-])cc1C
4,CC(=O)c1cc(O)cc(N)c1C#N
5,CN(C)c1cc(C#N)cc(C(=O)O)c1
6,Cc1ccc(C(=O)O)c([O-])c1.Cc1ccc(C(=O)O)c([O-])c1.[Cu+2]
7,Cc1cccc(C(=O)[O-])c1O.[Cu+]
8,Cc1cccc(C(=O)[O-])c1O.[Na+]
9,CCOC(=O)c1cc(C#N)c(N)c(C)c1O
10,CCOC(=O)c1cc(C#N)c(N)cc1O
11,Cc1c(NCC#N)cccc1C(=O)O
12,N#Cc1ccc(C(=O)O)cc1N
13,Cc1cc(C(C)(C)C)c(O)c(C)c1CC#N
14,CCc1ccc(C(=O)O)cc1C#N
15,COc1cc(CC#N)c([N+](=O)[O-])c(OC)c1
16,N#Cc1ccc(O)c(C(=O)O)c1
17,N#Cc1cc(C(=O)O)c(O)c(Br)c1N
18,COC(=O)c1cc(CC#N)ccc1OC
19,COC(=O)c1cc(N)cc(C#N)c1
20,N#Cc1cc(C(=O)O)ccc1O
21,COc1cccc(CC#N)c1[N+](=O)[O-]
22,N#Cc1cccc(C(=O)O)c1O
23,N#CCc1cc(C(=O)O)ccc1C(=O)O
24,COC(=O)c1ccc(C#N)c(N)c1
25,CC(=O)c1cc(C#N)c(N)cc1O
26,COC(=O)c1c(OC)ccc(NC=C(C#N)C#N)c1OC
27,CC(=O)c1cc(C#N)c(N)c(C)c1O
28,N#Cc1ccc(C(=O)O)c(O)c1
29,O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21
30,N#Cc1ccc(C(=O)O)cc1[N+](=O)[O-]
31,N#Cc1cc(C(=O)O)cc([N+](=O)[O-])c1
32,CCNc1cc(C#N)ccc1C(=O)O
33,N#Cc1c(C(=O)O)cccc1[N+](=O)[O-]
34,N#Cc1c(N)c2c(c(O)c1C#N)C(=O)c1ccccc1C2=O
35,COC(=O)c1cc(C#N)ccc1O
36,COc1ccc([N+](=O)[O-])c(CC#N)c1
37,COC(=O)c1ccc(O)c(C#N)c1
38,COc1ccc(C#N)cc1C(=O)O
39,COc1cc(CC#N)ccc1[N+](=O)[O-]
40,Cc1cc(Oc2ccc([N+](=O)[O-])cc2C#N)ccc1C(C)C
41,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1
42,Cc1c(C#N)c(N)c(N)c(O)c1C#N
43,Cc1ccc(C(=O)Oc2ccc(Oc3ccc(C#N)cc3)cc2)cc1[N+](=O)[O-]
44,COc1cc(C#N)c(C)c([N+](=O)[O-])c1
45,COc1cc(C#N)ccc1C(=O)O
46,N#Cc1ccc(C(=O)O)c(N)c1
