"model","r2(DCV)","RMSE(DCV)","MAE(DCV)"
"OLS",-0.0273101092,33.7552982152,24.6084970174
"PLS",0.3016289235,27.8313511274,22.1099037718
"RR",0.3024927714,27.8141328498,22.6882970723
"LASSO",0.3677606551,26.4808503958,21.5534548338
"EN",0.3350574959,27.1570889993,22.3502376323
"LSVR",0.2499421593,28.8428748742,22.078304809
"NSVR",0.4682476939,24.2854334522,18.5890751224
"DT",0.1021380565,31.5570174732,23.3617178276
"RF",0.4872389079,23.8478208321,17.5297906533
"LGPR",0.2986240447,27.8911617874,22.7659594986
"NGPR1",0.3311048975,27.237683955,22.3094062384
"NGPR2",0.3712697006,26.4072613308,21.1182827795
"NGPR3",0.2972594147,27.9182817793,21.988223944
"NGPR4",0.4409482477,24.9010221625,18.5663081975
"NGPR5",0.3613405813,26.6149606833,21.5957706791
"NGPR6",0.3652180806,26.5340438408,21.2551213685
"NGPR7",0.3608435976,26.6253141122,21.4116450256
"NGPR8",0.3573339877,26.6983138832,20.8744668392
"NGPR9",0.3513092541,26.8231648979,21.8503479872
"NGPR10",0.3666485651,26.5041296722,21.2408328369
"GBDT",0.4833606457,23.9378372935,16.5822985121
"XGB",0.4135691978,25.5034864726,17.418527682
"LGB",0.5302046542,22.8268257316,17.4997462973
"GMR",0.1669434364,30.3968383221,24.5426202585
"VBGMR",-0.0374588619,33.9216220228,30.7040161201
