"model","r2(DCV)","RMSE(DCV)","MAE(DCV)"
"OLS",0.4433529046,24.8474108967,20.6483300095
"PLS",0.4017605278,25.7589822942,21.3995830333
"RR",0.4403484306,24.9143769664,20.9666140334
"LASSO",0.44990251,24.7007989012,20.7298084433
"EN",0.4325406951,25.0875660639,21.2521732192
"LSVR",0.4399757973,24.9226699685,20.9896046649
"NSVR",0.4835994403,23.9323045283,17.3407152672
"DT",0.2442558325,28.9520000168,21.1811563093
"RF",0.4413438887,24.8922093735,17.937035394
"LGPR",0.4434459844,24.8453333785,20.8317033616
"NGPR1",0.4665996264,24.3230384323,17.7587179816
"NGPR2",0.4762771386,24.1013813366,17.785564845
"NGPR3",0.4459244731,24.7899500863,17.9345366684
"NGPR4",0.4587655812,24.5010034659,17.9292637422
"NGPR5",0.4649491698,24.3606397513,17.8019816501
"NGPR6",0.4766613549,24.0925390253,17.8046973599
"NGPR7",0.4575668822,24.5281202615,18.0330415966
"NGPR8",0.4763665924,24.0993229471,17.8346111846
"NGPR9",0.4653773377,24.3508906469,17.7819568022
"NGPR10",0.4765638684,24.0947828757,17.796330205
"GBDT",0.4213295368,25.3341784892,17.9737639621
"XGB",0.3818492554,26.1841431505,18.465011439
"LGB",0.5118867414,23.2675936489,18.4247333557
"GMR",0.5291445281,22.8525663824,16.0299251733
"VBGMR",0.4930811022,23.7115753847,16.084820285
