"model","r2(DCV)","RMSE(DCV)","MAE(DCV)"
"OLS",0.2325685603,29.1750065259,23.444649156
"PLS",0.2803534897,28.2521029514,22.7685507397
"RR",0.2714026924,28.4272565727,23.3978929585
"LASSO",0.2274709095,29.2717434009,24.0784635845
"EN",0.2778415542,28.3013671643,23.3877422362
"LSVR",0.2985182956,27.8932643373,22.642709749
"NSVR",0.3028118738,27.8077697807,21.3549542247
"DT",0.1732734481,30.2811323443,22.8282893874
"RF",0.3169590549,27.5241893867,20.0690901204
"LGPR",0.2667753238,28.5173853684,23.3948783088
"NGPR1",0.3548509864,26.7498398987,20.1702790707
"NGPR2",0.3411481956,27.0324269524,20.5470781358
"NGPR3",0.3847545975,26.1225372298,19.8028844224
"NGPR4",0.3480521811,26.8904200695,20.4418176506
"NGPR5",0.3567873296,26.7096663935,20.230761794
"NGPR6",0.3411828687,27.0317156313,20.5584432543
"NGPR7",0.3491612248,26.867538373,20.4684246556
"NGPR8",0.3358306517,27.1412960793,20.6542615252
"NGPR9",0.3563735307,26.7182565971,20.1987588231
"NGPR10",0.3418431471,27.0181663991,20.5394843333
"GBDT",0.2967119201,27.9291550192,19.9051189026
"XGB",0.3002183756,27.8594433918,20.0156137766
"LGB",0.3493283315,26.8640889534,20.7530095252
"GMR",-0.0419771562,33.9954087349,26.2005122918
"VBGMR",0.3743233009,26.3430562423,19.8231592399
