"model","r2(DCV)","RMSE(DCV)","MAE(DCV)"
"OLS",0.3581601435,26.6811478429,21.9668099099
"PLS",0.3691584008,26.4515624551,21.9570938792
"RR",0.3617018831,26.6074313227,22.158263908
"LASSO",0.3581821247,26.6806909626,21.9671535629
"EN",0.3622031332,26.5969819764,22.265439279
"LSVR",0.3639223733,26.5611104809,21.4461982341
"NSVR",0.4157110954,25.456869014,19.8629063932
"DT",0.402729066,25.7381222005,19.2837104814
"RF",0.2733241603,28.3897474297,21.0509054843
"LGPR",0.3606699874,26.6289299024,22.4226491253
"NGPR1",0.4035957104,25.7194423213,20.2810730852
"NGPR2",0.3706274284,26.4207459061,20.6628535051
"NGPR3",0.3834964051,26.1492342126,20.7472681131
"NGPR4",0.3785667549,26.2535725446,20.3459809903
"NGPR5",0.3839884143,26.1387977502,20.5250716914
"NGPR6",0.3754741713,26.318817368,20.5928431539
"NGPR7",0.3404226092,27.047308118,20.9269411954
"NGPR8",0.3736038238,26.3581980728,20.5932456785
"NGPR9",0.3936669625,25.9326431842,20.4213063055
"NGPR10",0.3735439054,26.3594586989,20.6275784252
"GBDT",0.2140820672,29.5243107348,21.2183432525
"XGB",0.2087682329,29.6239540888,21.1859346815
"LGB",0.4251630451,25.2501235984,19.8329542253
"GMR",0.3621876418,26.5973049804,20.1095088447
"VBGMR",0.3918117891,25.9722854306,18.2761641794
