"model","r2(DCV)","RMSE(DCV)","MAE(DCV)"
"PLS",0.3500422749,26.8493467219,21.1580076057
"RR",0.3609772462,26.6225302689,21.3378039088
"LASSO",0.2752386193,28.3523257561,23.7326689841
"EN",0.3668957143,26.4989578873,21.3546929666
"LSVR",0.4183157237,25.400065144,20.0747152697
"NSVR",0.3983410605,25.8324950717,18.6557729775
"DT",0.2891463939,28.0789752281,21.0028335301
"RF",0.3560274522,26.7254388447,19.3495121445
"LGPR",0.376617508,26.29471504,21.0554267783
"NGPR1",0.3840754271,26.1369516095,19.7478487042
"NGPR2",0.3661634704,26.5142777127,19.8802620454
"NGPR3",0.2329523196,29.1677110323,21.5735535726
"NGPR4",0.3102370058,27.6592954673,20.0105459955
"NGPR5",0.3701430267,26.4309114198,20.0115676648
"NGPR6",0.3655112907,26.5279150048,19.8682944357
"NGPR7",0.3579687795,26.6851250273,20.3582249442
"NGPR8",0.365945075,26.5188452129,19.8513513845
"NGPR9",0.3724204812,26.3830833323,19.9698885034
"NGPR10",0.3655606024,26.5268841267,19.874068848
"GBDT",0.2606203569,28.6368281211,20.0549475569
"XGB",0.2702149038,28.4504187643,19.5559786647
"LGB",0.4151418125,25.4692675307,19.1079199738
"GMR",0.2929694301,28.0033677782,20.8395049128
"VBGMR",0.3579234461,26.6860671209,20.3404662423
