"model","r2(DCV)","RMSE(DCV)","MAE(DCV)"
"OLS",-0.2781639647,37.6516881448,26.706393456
"PLS",0.1071268499,31.4692251713,24.3631452706
"RR",0.2492213467,28.8567306822,22.2275953546
"LASSO",0.2889799182,28.0822629612,21.596372621
"EN",0.250309423,28.8358125943,22.2793843416
"LSVR",0.2667819316,28.5172568686,21.9684302772
"NSVR",0.2921455553,28.0196786374,20.7644242267
"DT",0.0306359651,32.7894868115,23.2842975207
"RF",0.2386128808,29.0598876516,21.2407606323
"LGPR",0.299603083,27.8716886002,21.6470914569
"NGPR1",0.3567014201,26.7114500476,20.6270846161
"NGPR2",0.3005260233,27.853318742,21.5475546736
"NGPR3",0.1512113703,30.6825142693,23.2320906239
"NGPR4",0.347680786,26.898078312,20.0353919701
"NGPR5",0.3452971094,26.9471783935,20.8571696566
"NGPR6",0.2856270073,28.1483979316,21.8475382059
"NGPR7",0.3059448187,27.7452197329,21.9028845123
"NGPR8",0.2830583362,28.1989591217,21.9172303476
"NGPR9",0.3533506177,26.7809267597,20.6726102002
"NGPR10",0.2970510134,27.922421127,21.6290404182
"GBDT",-0.1002457752,34.933011196,24.4112574265
"XGB",-0.0210469339,33.6522433707,23.1353442452
"LGB",0.3589060639,26.6656394595,19.5878168281
"GMR",0.3117700486,27.6285410846,21.1031867775
"VBGMR",0.2062555089,29.670955372,22.2007726095
