"model","r2(DCV)","RMSE(DCV)","MAE(DCV)"
"PLS",0.3014978345,27.8339630704,22.1655295595
"RR",0.374960294,26.329643072,21.2320972953
"LASSO",0.3424865918,27.0049560626,22.1341101532
"EN",0.3500377504,26.8494401752,22.0294541924
"LSVR",0.3584569496,26.6749780458,21.6327553153
"NSVR",0.4009933814,25.775492891,20.9864615606
"DT",0.2779728955,28.2987934175,19.8520005247
"RF",0.3555679332,26.7349723703,19.4446468841
"LGPR",0.3753079205,26.3223202138,21.2496259191
"NGPR1",0.4059448503,25.6687399861,20.1779243682
"NGPR2",0.3899042021,26.0129846781,20.565155427
"NGPR3",0.2429472746,28.9770541183,21.2957248681
"NGPR4",0.350948931,26.8306134882,20.2805333068
"NGPR5",0.4054420848,25.6795997769,20.1601708259
"NGPR6",0.3903493164,26.0034936574,20.5628955897
"NGPR7",0.3775873494,26.2742527779,20.6849466235
"NGPR8",0.3905161557,25.9999353078,20.5580194108
"NGPR9",0.4070082582,25.6457551099,20.1320459835
"NGPR10",0.3902864864,26.0048335709,20.5640498753
"GBDT",0.3133508527,27.5967926696,18.7276015117
"XGB",0.3484610379,26.8819868369,17.9536281775
"LGB",0.4777209812,24.0681360649,18.5851515786
"GMR",0.0108203901,33.1229299457,25.3660369138
"VBGMR",0.217443471,29.4611047244,21.9613642613
