"model","r2(DCV)","RMSE(DCV)","MAE(DCV)"
"OLS",0.381011334,26.2018838273,20.7135899243
"PLS",0.3723515371,26.3845324771,20.8404843252
"RR",0.3631529629,26.577170013,21.1305997846
"LASSO",0.3486296266,26.8785086939,21.3049328364
"EN",0.3585428989,26.673191126,21.1916192648
"LSVR",0.3647862391,26.5430678479,21.1204092765
"NSVR",0.4467269671,24.7719913492,18.7590361002
"DT",0.4518327264,24.6574249677,17.4857256778
"RF",0.567159517,21.9106420917,15.990495343
"LGPR",0.370967543,26.4136060197,21.2846743713
"NGPR1",0.4195094523,25.3739888365,19.4975438857
"NGPR2",0.4079645321,25.6250682612,19.5318510309
"NGPR3",0.4219305328,25.3210192754,18.7604523915
"NGPR4",0.4730183539,24.1762486183,18.4123992529
"NGPR5",0.4625164616,24.4159570365,18.6216896307
"NGPR6",0.4170800146,25.4270303225,19.3206467635
"NGPR7",0.4884362844,23.8199603822,18.0965884583
"NGPR8",0.4278433888,25.1911868116,19.0927333988
"NGPR9",0.4489181263,24.7228897098,18.913215812
"NGPR10",0.414155243,25.4907399287,19.4144627768
"GBDT",0.4413846483,24.8913012878,17.5640959957
"XGB",0.3915400151,25.97808775,17.5232660751
"LGB",0.4214118677,25.3323762022,18.8541969314
"GMR",0.2870587949,28.1201754602,22.7859282505
"VBGMR",0.4831713832,23.9422215118,18.4967767757
