"model","r2(DCV)","RMSE(DCV)","MAE(DCV)"
"OLS",0.1384458033,30.9123818463,22.5243058255
"PLS",0.3011630403,27.8406327224,22.2105813649
"RR",0.3652522782,26.5333290963,21.0196277054
"LASSO",0.3449870107,26.9535593779,21.2926802203
"EN",0.3620221512,26.6007553054,20.978990069
"LSVR",0.3706294942,26.4207025454,20.6464344538
"NSVR",0.4713275886,24.2150010379,18.8515836109
"DT",0.2275832374,29.2696152253,20.1074758575
"RF",0.5295889242,22.8417796445,16.7317562771
"LGPR",0.3650880571,26.5367612089,20.8727609808
"NGPR1",0.429257058,25.1600467095,18.7224573809
"NGPR2",0.4320967089,25.0973785335,18.9821997918
"NGPR3",0.3172425622,27.5184766118,19.900056942
"NGPR4",0.2128873721,29.5467425658,20.3517136317
"NGPR5",0.4598729876,24.4759251832,18.4153182325
"NGPR6",0.4385667824,24.9540028581,18.8323962017
"NGPR7",0.4825205589,23.9572915716,18.227482365
"NGPR8",0.4401124569,24.9196289111,18.8912898259
"NGPR9",0.452999361,24.6311724651,18.466333286
"NGPR10",0.4372212696,24.9838869431,18.8532646499
"GBDT",0.4188610406,25.3881563364,17.4628570328
"XGB",0.3872448572,26.0696169954,18.375416133
"LGB",0.4732969453,24.1698573288,17.7086533408
"GMR",0.0684232877,32.1440414907,23.4860152051
"VBGMR",0.1179820856,31.2773443331,21.2954928687
